X.2,X.1,Parent,Spinoff,Date,Parent.Company,New.Company,MarketCap,Notes,Missing.,Sector,Industry,YF_Dummy,Notes.1,X,TotalAssets,Inventory,NetPPE,TotalEquityGrossMinorityInterest,TotalDebt,TotalRevenue,ResearchAndDevelopment,OperatingIncome,NetIncome,ParentTotalAssets,ParentTotalEquityGrossMinorityInterest,ParentTotalDebt,Notes...Parent,Notes...Spinoff,Notes.2,Year.Dmy,IndustryMedianEarningsVolatility,IndustryMedianLeverageRatio,SectorMedianEarningsVolatility,SectorMedianLeverageRatio,Taxes,ClosestDate,WX_FFR,WX_diff
1,1,MDU,KNF,6/1/23,Mdu Resources Group Inc,Knife River Corp,2460630352,,,Basic Materials,Building Materials,,,,2642900000,374400000,1357400000,1094900000,885100000,785200000,,93500000,56800000,9842587000,3575382000,3467175000,,,,2023,,0.296999672,0.50523509,0.504063828,,19509,5.08,0
2,2,WKEY,LAES,5/24/23,Wisekey International Holding SA,Sealsq Corp,75138262,,,Technology,Semiconductors,,,,24077000,9334000,2181000,-645000,1577000,14751000,1492000,-279000,-875000,21659000,212000,14121000,,"unaudited balance sheet: https://www.sec.gov/ix?doc=/Archives/edgar/data/1951222/000119380523001341/e618949_ex99-1.htm
",,2023,1.439271663,0.140803419,0.419082305,0.421535022,,19509,5.08,0
3,3,SPHR,MSGE,4/21/23,Sphere Entertainment Co.,Madison Square Garden Entertainment Corp,1572913518,,,Consumer Cyclical,Leisure,,,,1401157000,2557000,864678000,-69472000,902918000,,,,,6049481000,2172798000,2269213000,,,,2023,1.966518861,0.233185619,0.860980215,0.849259347,0,19478,5.08,0.25
4,4,CXT,CR,4/4/23,Crane Nxt Co.,Crane Co.,5055792126,,,Industrials,Specialty Industrial Machinery,,,,2179100000,360800000,254200000,1237600000,262300000,509600000,,63100000,45600000,4336000000,2017700000,1189200000,,,,2023,0.644094988,0.529711181,0.410636663,0.72137165,,19448,4.83,0
5,5,SAFE,STHO,3/31/23,Safehold Inc,Star Holdings,231627009,,,Real Estate,Real Estate Services,,,,813120000,,224489000,520635000,251784000,16786000,,-13490000,-90740000,5850922000,2164615000,3526830000,,,,2023,,0.895384136,1.517486553,1.025771966,,19448,4.83,0
6,6,CTRM,TORO,3/8/23,Castor Maritime Inc,Toro Corp,25450114,,,Industrials,Marine Shipping,,,,178479075,922286,91717046,42488858,12419944,31154154,,22034658,21959213,632920948,461495060,151841236,,,,2023,,0.706917543,0.410636663,0.72137165,,19417,4.83,0.26
7,7,JEF,VTS,1/17/23,Jefferies Financial Group Inc,Vitesse Energy Inc,547824145,,,Energy,Oil & Gas E&P,,,,689933000,,642235000,563114000,45000000,57961000,,-13680000,-47815000,51057683000,10426940000,11202211000,,,,2023,,0.41414187,0.546311087,0.544878592,,19389,4.57,0.24
8,8,GE,GEHC,1/4/23,General Electric Co.,Ge Healthcare Technologies I,37292243255,,,Healthcare,Health Information Services,,,,32637000000,2256000000,2327000000,6696000000,10234000000,4707000000,,559000000,383000000,1.88851E+11,34912000000,26148000000,,,,2023,0.328614551,0.153065802,0.408946388,0.172467945,,19358,4.33,0
9,9,BEAM2,MBC,12/15/22,Beam Inc,Masterbrand Inc,966400000,,,Consumer Cyclical,"Furnishings, Fixtures & Appliances",,,,2529400000,373100000,404900000,1009200000,1033600000,784400000,,49700000,15400000,,,,,,,2022,1.443150447,0.960053517,1.104387669,0.849259347,,19327,4.33,0.5
10,10,BN,BAM,12/12/22,Brookfield Corp,Brookfield Asset Management Ltd.,11358366149,,,Financial Services,Asset Management,,,,12891000000,,68000000,2377000000,,1117000000,,912000000,504000000,4.1915E+11,1.33976E+11,2.04476E+11,,,,2022,0.988663261,0.446983728,0.670399927,0.713185784,,19327,4.33,0.5
11,11,BNRE,BAM,12/12/22,Brookfield Reinsurance Ltd.,Brookfield Asset Management Ltd.,11358366149,Duplicate?,,Financial Services,Asset Management,,,,12891000000,,68000000,9508000000,,1117000000,,912000000,504000000,41387000000,663000000,3270000000,,,,2022,0.988663261,0.446983728,0.670399927,0.713185784,,19327,4.33,0.5
12,12,SAFE,SAFE2,11/30/22,Safehold Inc,Safehold Inc,,True spinoff?,,Real Estate,,,,,3253228000,,,1426897000,1682521000,30278000,,,-80844000,5791874000,2145507000,3464410000,,https://www.sec.gov/Archives/edgar/data/1095651/000155837023001675/star-20221231x10k.htm,,2022,,,1.971891564,1.025771966,,19327,4.33,0.5
13,13,UHAL,UHAL.B,11/10/22,U-haul Holding Co.,U-haul Holding Co.,10200000000,,https://www.macrotrends.net/stocks/charts/UHAL/u-haul-holding/market-cap,Consumer Cyclical,,,,,18116328000,150140000,10916230000,6413377000,,1375336000,,320430000,199244000,18143343000,6313187000,6366689000,,https://www.sec.gov/Archives/edgar/data/4457/000000445723000011/uhal-20221231.htm,,2022,,,1.104387669,0.849259347,,19297,3.83,0.75
14,14,XPO,RXO,11/1/22,Xpo Inc,Rxo Inc,2000412769,,,Industrials,Trucking,,,,2031000000,,119000000,587000000,621000000,4796000000,,123000000,9200000,8503000000,1786000000,3724000000,,,,2022,,0.465653812,0.542921847,0.72137165,,19297,3.83,0.75
15,15,LGL,MPTI,10/7/22,Lgl Group Inc,M-tron Industries Inc,23859482,,,Technology,Electronic Components,,,,19273000,7518000,3794000,14341000,76000,8673000,,828000,190000,57904000,52179000,,,,,2022,0.248659627,0.42104476,0.730600415,0.421535022,,19266,3.08,0
16,16,BRG,BHM,10/6/22,Bluerock Residential Growth Reit Inc,Bluerock Homes Trust Inc,81905027,,,Real Estate,REIT—Residential,,,,658893000,,472126000,491988000,153191000,34144000,,-9949000,-5925000,2642101000,85798000,,https://www.sec.gov/Archives/edgar/data/1442626/000141057822002130/brg-20220630x10q.htm,,,2022,,0.961102368,1.971891564,1.025771966,,19266,3.08,0
17,17,BHVN1,BHVN,10/4/22,Biohaven Pharmaceutical Holding Co Ltd.,Biohaven Ltd.,946074388,,,Healthcare,Biotechnology,,,,661783000,,17512000,538771000,30581000,0,137044000,-213412000,-201107000,1386249000,,,https://www.sec.gov/Archives/edgar/data/1689813/000168981322000064/bhvn-20220630.htm,,,2022,0.410142542,0.093677874,0.474073762,0.172467945,,19266,3.08,0
18,18,ADEA,XPER,10/3/22,Adeia Inc,Xperi Inc,361823471,,,Technology,Software—Application,,,,736911000,6662000,100728000,448986000,109861000,502260000,216355000,-749432000,-761206000,2160727000,979055000,853492000,,,,2022,0.608608761,0.322101097,0.730600415,0.421535022,,19266,3.08,0
